,anion,anion_smiles,cation,cation_smiles
50,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-heptyl-3-methylimidazolium,c1c[n+](cn1CCCCCCC)C
51,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-3-methyl-4-(dimethylamino)pyridinium,CN(C)c1c(C)c[n+](cc1)CCCCCC
52,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
53,dicyanamide,C(#N)[N-]C#N,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
54,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
55,phenolate,C1=CC=C(C=C1)[O-],1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
56,tetrafluoroborate,[B-](F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
57,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
58,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
59,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-4-cyanopyridinium,CCCCCC[n+]1ccc(C#N)cc1
60,bis[(trifluoromethyl)sulfonyl]amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-isobutyl-3-methylimidazolium,c1c[n+](cn1CC(C)C)C
61,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-methyl-1-propylpyrrolidinium,CCC[N+]1(CCCC1)C
