,anion,anion_smiles,cation,cation_smiles
176,acetate,CC(=O)[O-],3-hexyl-1-methylimidazolium,CCCCCCn1cc[n+](c1)C
178,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,3-methyl-1-propylpyridinium,CCC[n+]1cccc(c1)C
183,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"N,N,N-triethyl-1-decanaminium",C(CCCCCCCC[N+](CC)(CC)CC)C
184,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"N,N,N-triethyldodecan-1-aminium",CCCCCCCCCCCC[N+](CC)(CC)CC
185,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"N,N,N-triethyltetradecan-1-aminium",CCCCCCCCCCCCCC[N+](CC)(CC)CC
187,2-aminoethanesulfonate,C(CS(=O)(=O)[O-])N,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
188,L-lysinate,C(CCN)C[C@@H](C(=O)[O-])N,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
189,L-threoninate,C[C@H]([C@@H](C(=O)[O-])N)O,"N,N-dibutyl-N-methyl-1-butanaminium",CCCC[N+](C)(CCCC)CCCC
190,L-serinate,C([C@@H](C(=O)[O-])N)O,"N,N-dibutyl-N-methylbutanaminium",CCCC[N+](C)(CCCC)CCCC
198,butanoate,CCCC(=O)[O-],N-methyl-2-hydroxyethylammonium,OCC[NH2+]C
200,tetrafluoroborate,[B-](F)(F)(F)F,N-octyl-3-methylpyridinium,CCCCCCCC[n+]1cccc(c1)C
201,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,butyltrimethylammonium,CCCC[N+](C)(C)C
204,nitrate,[N+](=O)([O-])[O-],ethylammonium,CC[NH3+]
205,bis(trifluoromethylsulfonyl)imid,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"n-butyl-4-(n',n'-dimethylammonium)pyridinium",CCCC[n+]1ccc(N(C)C)c(c1)
207,nitrate,[N+](=O)([O-])[O-],pyrrolidinium,C1CC[NH2+]C1
208,docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],tetrabutylammonium,CCCC[N+](CCCC)(CCCC)CCCC
209,2-aminoethanesulfonate,C(CS(=O)(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
210,L-cysteinate,C([C@@H](C(=O)[O-])N)S,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
211,L-lysinate,C(CCN)C[C@@H](C(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
212,L-prolinate,C1C[C@H](NC1)C(=O)[O-],tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
213,L-serinate,C([C@@H](C(=O)[O-])N)O,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
214,L-threoninate,C[C@H]([C@@H](C(=O)[O-])N)O,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
215,L-valinate,CC(C)[C@@H](C(=O)[O-])N,tetrabutylphosphonium,CCCC[P+](CCCC)(CCCC)CCCC
216,dicyanamide,C(#N)[N-]C#N,tetradecyl(trihexyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
218,diethylphosphate,CCOP(=O)([O-])OCC,tributylethylphosphonium,[P+](CCCC)(CCCC)(CCCC)(CC)
219,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,triethylhexylammonium,[P+](CC)(CC)(CC)(CCCCCC)
220,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,triethyloctylammonium,[P+](CC)(CC)(CC)(CCCCCCCC)
221,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
222,chloride,[Cl-],trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
223,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
224,"bis(2,4,4-trimethylpentyl)phosphinate",CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],trihexyltetradecylphosphonium,C[n+]1cc[nH]c1
225,tetrachloroferrate,Cl[Fe-](Cl)(Cl)Cl,trihexyltetradecylphosphonium,C[n+]1cc[nH]c1
