Molecular weight of IL  g/mol,Number of rings,Mass of group of rings  g/mol,Number of branches,Mass of first branch g/mol,Mass of second branch g/mol,Mass of third branch  g/mol,Mass of fourth branch  g/mol,Mass of cation  g/mol,Mass of anion  g/mol,Pressure   kPa,Temprature k,Density g/cm^3
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,20000.000,323.15,1.146900
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,100.000,333.15,1.130000
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,5000.000,333.15,1.132700
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,10000.000,333.15,1.135200
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,15000.000,333.15,1.137800
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,100.000,343.15,1.123400
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,5000.000,343.15,1.126000
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,10000.000,343.15,1.128700
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,20000.000,343.15,1.133800
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,100.000,353.15,1.116800
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,5000.000,353.15,1.119500
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,10000.000,353.15,1.122300
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,15000.000,353.15,1.125000
251.071899,1,79.102300,1,0.000000,85.170510,0.000000,0.000000,164.272810,86.804600,20000.000,353.15,1.127600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,293.15,1.111200
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,293.15,1.113800
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,15000.000,293.15,1.118600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,293.15,1.120900
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,303.15,1.104400
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,303.15,1.107100
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,10000.000,303.15,1.109600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,303.15,1.114400
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,313.15,1.097600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,313.15,1.100300
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,10000.000,313.15,1.103000
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,15000.000,313.15,1.105400
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,323.15,1.091100
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,323.15,1.093900
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,15000.000,323.15,1.099000
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,323.15,1.101500
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,333.15,1.084400
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,10000.000,333.15,1.089900
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,15000.000,333.15,1.092600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,333.15,1.095200
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,343.15,1.080700
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,10000.000,343.15,1.083600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,15000.000,343.15,1.086200
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,343.15,1.089000
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,100.000,353.15,1.071600
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,5000.000,353.15,1.074400
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,10000.000,353.15,1.077300
279.126079,1,79.102300,1,0.000000,113.224690,0.000000,0.000000,192.326990,86.804600,20000.000,353.15,1.083000
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,293.15,1.483200
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,298.15,1.478700
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,303.15,1.474200
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,313.15,1.465300
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,318.15,1.460800
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,323.15,1.456300
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,333.15,1.447700
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,338.15,1.443400
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,343.15,1.439100
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,353.15,1.430500
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,358.15,1.426300
441.370000,1,78.094330,2,0.000000,57.116330,0.000000,26.017850,161.228510,280.145000,100.000,363.15,1.422000
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,293.15,1.413300
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,298.15,1.408900
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,303.15,1.404600
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,308.15,1.400300
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,318.15,1.391600
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,323.15,1.387300
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,328.15,1.383000
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,338.15,1.374700
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,343.15,1.370600
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,348.15,1.366400
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,358.15,1.358100
469.420000,1,78.094330,2,0.000000,85.170510,0.000000,26.017850,189.282690,280.145000,100.000,363.15,1.354000
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,293.15,1.411600
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,298.15,1.407100
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,308.15,1.398100
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,313.15,1.393600
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,318.15,1.389100
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,328.15,1.380500
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,333.15,1.376100
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,338.15,1.371800
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,348.15,1.363200
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,353.15,1.358900
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,358.15,1.354600
469.420000,1,78.094330,2,26.017850,85.170510,0.000000,0.000000,189.282690,280.145000,100.000,363.15,1.350300
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,293.15,1.359300
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,298.15,1.355100
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,303.15,1.350800
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,308.15,1.346600
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,313.15,1.342400
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,323.15,1.334000
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,328.15,1.329800
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,333.15,1.325700
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,343.15,1.317600
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,348.15,1.313600
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,353.15,1.309600
497.480000,1,78.094330,2,0.000000,113.224690,0.000000,26.017850,217.336870,280.145000,100.000,363.15,1.301500
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,293.15,1.190220
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,298.15,1.186050
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,303.15,1.181830
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,313.15,1.174040
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,318.15,1.170140
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,323.15,1.166510
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,333.15,1.159320
198.200000,1,79.102300,1,0.000000,57.116330,0.000000,0.000000,136.218630,62.004900,101.325,338.15,1.156030
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2389.000,283.13,1.200770
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5533.000,283.20,1.202110
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,20156.000,283.17,1.208220
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,29957.000,283.17,1.212190
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39808.000,283.17,1.216080
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,60042.000,283.15,1.223770
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,69924.000,283.16,1.227370
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79648.000,283.15,1.230820
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,99418.000,283.14,1.237540
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,2593.000,293.13,1.194150
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5220.000,293.16,1.195310
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,10236.000,293.17,1.197500
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,29914.000,293.17,1.205840
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,39693.000,293.17,1.209820
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,49933.000,293.16,1.213870
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,69958.000,293.15,1.221460
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,79965.000,293.15,1.225080
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,90001.000,293.15,1.228600
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,1003.000,298.15,1.190060
237.050320,1,78.094330,2,15.035060,57.116330,0.000000,0.000000,150.245720,86.804600,5005.000,298.15,1.191860
